title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Planet of the Apes",movie,"Action, Adventure, Sci-Fi",2001,tt0133152,5.7,237061,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100010,
Crash,movie,Drama,1996,tt0115964,6.4,68669,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,259695,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116380,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,284495,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194120,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,182800,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,175734,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,745759,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,483736,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,400516,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,173569,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117270,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,258736,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118420,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,172895,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,136622,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123047,
300,movie,"Action, Drama",2006,tt0416449,7.6,884133,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,136281,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,764309,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39545,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,602045,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8320,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,132800,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31286,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92002,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1470468,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,176634,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6291,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,237377,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171428,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,444947,
"Office Space",movie,Comedy,1999,tt0151804,7.6,296553,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,427447,
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,417908,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,394318,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,248565,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,341394,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,260078,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109203,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,332774,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87750,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,453567,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,188168,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,327707,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,68989,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,106697,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,355138,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29057,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75080,
"Phone Booth",movie,"Crime, Thriller",2002,tt0183649,7.1,292775,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,691830,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4771,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,406054,
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11993,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37958,
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,321871,
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,227371,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2956,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10049,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114470,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,98521,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,490492,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,160558,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,591477,
"Mr. Holland's Opus",movie,"Drama, Music",1995,tt0113862,7.3,42676,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20363,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1796,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,635882,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,182467,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,132701,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,110159,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,265059,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,176673,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63020,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92008,
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31646,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16579,
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12705,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35803,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,590393,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,497017,
