title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,498927,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109154,DE
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,102171,"DE, GB"
"Muriel's Wedding",movie,"Comedy, Drama",1994,tt0110598,7.2,43118,DE
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2083472,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Some Like It Hot",movie,"Comedy, Music, Romance",1959,tt0053291,8.2,290629,BR
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1405397,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,257332,DE
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,433976,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE"
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,92841,DE
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,194525,AU
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23468,DE
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,243401,"AT, CA, CH, DE, FR, GB, IE, US"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,455031,"AU, US"
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15641,"DE, GB"
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6649,DE
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,10941,"DE, GB"
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7730,"DE, GB"
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,123911,DE
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,37001,GB
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34441,DE
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,90047,"DE, GB"
Fargo,movie,"Crime, Drama, Thriller",1996,tt0116282,8.1,743407,"BR, CL, CO, MX"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1212355,US
