title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,357707,
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,219327,
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,285444,
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24764,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,500328,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109542,
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,102782,
"Muriel's Wedding",movie,"Comedy, Drama",1994,tt0110598,7.2,43311,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2095476,
"Some Like It Hot",movie,"Comedy, Music, Romance",1959,tt0053291,8.2,291909,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1412423,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,258163,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,435666,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93077,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,195116,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23567,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,245324,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,456330,
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15758,
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6683,
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,11001,
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7762,
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,124632,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34572,
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,90416,
"The Silence of the Lambs",movie,"Crime, Drama, Thriller",1991,tt0102926,8.6,1612189,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1218029,
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,206066,
"Bull Durham",movie,"Comedy, Romance, Sport",1988,tt0094812,7,61151,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49557,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,96843,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,31294,
"The Celebration",movie,Drama,1998,tt0154420,8,96648,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,390789,
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13527,
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22768,
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,327137,
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146661,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1105240,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,455098,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,349435,
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2594,
Magnolia,movie,Drama,1999,tt0175880,8,335806,
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,39097,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68101,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,379959,
Head-On,movie,"Drama, Romance",2004,tt0347048,7.9,58942,
"To Catch a Thief",movie,"Mystery, Romance, Thriller",1955,tt0048728,7.4,82815,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,275886,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,408675,
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5596,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,205705,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,829859,
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,54603,
Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,143968,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,228480,
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,102216,
"La Strada",movie,Drama,1954,tt0047528,8,67875,
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,207821,
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,207419,
8½,movie,Drama,1963,tt0056801,8,128288,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,954156,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24918,
Cube,movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,253716,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,492704,
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71574,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,81558,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87340,
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,139206,
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,34785,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1013268,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18615,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41696,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,82123,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1120212,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,205706,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1466176,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28950,
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1121798,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,555621,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,359745,
Requiem,movie,"Drama, Horror",2006,tt0454931,6.8,6577,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,584783,
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,220176,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61392,
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,744690,
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,336811,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,187199,
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,50724,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,477378,
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,386288,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,323903,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,211383,
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,686403,
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,51101,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,306949,
