title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,592847,
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,196469,
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,485636,
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,598863,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,804541,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,173860,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,813595,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,496541,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69470,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,500798,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109706,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136039,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2100987,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1415524,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,258549,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,436393,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,245952,
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,124945,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,417053,
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1631917,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3010685,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,626508,
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,426376,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,375483,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,391519,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,500280,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1107819,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,350149,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,394737,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,493953,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,337973,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,831342,
"La Strada",movie,Drama,1954,tt0047528,8,67978,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,272830,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,274281,
8½,movie,Drama,1963,tt0056801,8,128466,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1014866,
"Romeo + Juliet",movie,"Drama, Romance",1996,tt0117509,6.7,250521,
"Bend It Like Beckham",movie,"Comedy, Drama, Romance",2002,tt0286499,6.7,118809,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1123611,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,206182,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112529,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,166700,
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,337384,
"Fight Club",movie,Drama,1999,tt0137523,8.8,2433851,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,388538,
"Die Hard",movie,"Action, Thriller",1988,tt0095016,8.2,983202,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,478307,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,307625,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,510366,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1328002,
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,450869,
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,623143,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2134391,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,647964,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,557913,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,119216,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,485324,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,152789,
Trainspotting,movie,Drama,1996,tt0117951,8.1,744740,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1180704,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,770335,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1150008,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,329635,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,129484,
"La Jetée",movie,"Drama, Romance, Sci-Fi",1962,tt0056119,8.2,38276,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,170184,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.5,242118,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,260836,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,669849,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,895711,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,722304,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,722182,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,710728,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,660125,
"Pearl Harbor",movie,"Action, Drama, Romance",2001,tt0213149,6.2,359555,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2308730,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92121,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,97714,
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1089645,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,114950,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1207981,
Faces,movie,Drama,1968,tt0062952,7.4,12214,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,352023,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,621869,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,343721,
"Home Alone",movie,"Comedy, Family",1990,tt0099785,7.7,690861,
"Home Alone 2: Lost in New York",movie,"Adventure, Comedy, Crime",1992,tt0104431,6.9,425593,
"Little Miss Sunshine",movie,"Comedy, Drama",2006,tt0449059,7.8,533272,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,562412,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,151527,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1886703,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,254847,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,175137,
"Moulin Rouge!",movie,"Drama, Musical, Romance",2001,tt0203009,7.6,305844,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,283671,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,441482,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1554132,
"Planet of the Apes",movie,"Action, Adventure, Sci-Fi",2001,tt0133152,5.7,237249,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100206,
Crash,movie,Drama,1996,tt0115964,6.4,68829,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,260038,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116494,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,284853,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194373,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183004,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,175913,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,747430,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,484756,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,401262,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,173797,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117350,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,259225,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118587,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173062,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,136965,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123192,
300,movie,"Action, Drama",2006,tt0416449,7.6,885336,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,136567,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,767187,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39584,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,603056,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8349,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,133151,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31367,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92080,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1473359,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,177068,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6303,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,238072,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171623,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,445575,
"Office Space",movie,Comedy,1999,tt0151804,7.6,296998,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,427711,
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,418308,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,394699,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,248885,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,342205,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,260427,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109335,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,333010,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87853,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,454071,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,188552,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,328217,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69113,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,106842,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,355652,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29074,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75294,
"Phone Booth",movie,"Crime, Thriller",2002,tt0183649,7.1,293163,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,692858,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4780,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,259671,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,406801,
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11999,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37998,
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,322340,
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,227572,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2970,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10070,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,87019,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114539,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,98733,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,491475,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,160802,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,592533,
"Mr. Holland's Opus",movie,"Drama, Music",1995,tt0113862,7.3,42808,
Ratatouille,movie,"Adventure, Animation, Comedy",2007,tt0382932,8.1,872780,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20404,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1797,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,636765,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,182661,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,132804,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,110349,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,265339,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75318,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,176801,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63142,
